x,y,yaw,steeringAngle,velocity,srate
-55.3623,-294.76,1.37263,-0.0141936,-20,-4.6192e-05
-55.756,-296.721,1.38683,-0.014113,-20,0.000805639
-56.1219,-298.687,1.40094,-0.0139477,-20,0.00165263
-56.4599,-300.658,1.41489,-0.0136988,-20,0.00248969
-56.7705,-302.634,1.42859,-0.0133676,-20,0.00331179
-57.054,-304.614,1.44196,-0.0129562,-20,0.004114
-57.3109,-306.597,1.45491,-0.012467,-20,0.00489149
-57.5422,-308.584,1.46738,-0.0119031,-20,0.00563959
-57.7486,-310.573,1.47928,-0.0112677,-20,0.00635383
-57.9314,-312.565,1.49055,-0.0105647,-20,0.0070299
-58.0917,-314.558,1.50112,-0.00979833,-20,0.00766377
-58.231,-316.553,1.51092,-0.00897317,-20,0.00825162
-58.3507,-318.55,1.51989,-0.00809417,-20,0.00878994
-58.4524,-320.547,1.52798,-0.00716662,-20,0.0092755
-58.538,-322.545,1.53515,-0.00619608,-20,0.0097054
-58.6093,-324.544,1.54135,-0.00518837,-20,0.0100771
-58.6682,-326.543,1.54654,-0.00414955,-20,0.0103883
-58.7167,-328.543,1.55068,-0.00308583,-20,0.0106372
-58.7569,-330.542,1.55377,-0.00200361,-20,0.0108222
-58.791,-332.542,1.55577,-0.000909367,-20,0.0109424
-58.821,-334.542,1.55668,6.5177e-05,-20,0.00974544
-58.8492,-336.541,1.55662,0.00073904,-20,0.00673863
-58.8776,-338.541,1.55588,0.0014105,-20,0.00671455
-58.9074,-340.541,1.55447,0.00196807,-20,0.0055757
-58.9401,-342.541,1.5525,0.00261675,-20,0.0064868
-58.9767,-344.54,1.54988,0.00324279,-20,0.00626041
-59.0185,-346.54,1.54664,0.00396081,-20,0.00718026
-59.0668,-348.539,1.54268,0.00444678,-20,0.00485966
-59.123,-350.539,1.53823,0.00491062,-20,0.00463843
-59.1881,-352.538,1.53332,0.00521624,-20,0.0030562
-59.2631,-354.536,1.52811,0.00567771,-20,0.00461471
-59.3484,-356.534,1.52243,0.0059828,-20,0.00305092
-59.4451,-358.532,1.51645,0.00636737,-20,0.00384566
-59.5538,-360.529,1.51008,0.00670335,-20,0.0033598
-59.6751,-362.525,1.50338,0.00719827,-20,0.00494919
-59.8099,-364.521,1.49618,0.00784187,-20,0.00643599
-59.959,-366.515,1.48833,0.0082316,-20,0.00389733
-60.1237,-368.508,1.4801,0.00882908,-20,0.00597479
-60.3048,-370.5,1.47127,0.00956095,-20,0.00731868
-60.5036,-372.49,1.46171,0.0102591,-20,0.00698176
-60.7213,-374.478,1.45145,0.0108784,-20,0.00619274
-60.9594,-376.464,1.44057,0.0112815,-20,0.00403086
-61.2191,-378.447,1.42929,0.0116169,-20,0.00335389
