step,x_exact,y_exact,yaw_exact,steeringAngle_exact,x_approx,y_approx,yaw_approx,steeringAngle_approx,error
123,-8.28645,-12.103,17.3974,-0.00380628,-8.80937,-11.7311,17.3688,-0.00380628,0.447402
124,-8.19286,-12.8472,17.4039,0.0172021,-8.73714,-12.4777,17.3752,0.0172021,0.456886
125,-8.08861,-13.5899,17.4182,0.0382104,-8.65421,-13.2231,17.3895,0.0382104,0.466167
126,-7.95992,-14.3288,17.4512,0.0877408,-8.54674,-13.9658,17.4225,0.0877408,0.474878
127,-7.79315,-15.06,17.503,0.137271,-8.40093,-14.7025,17.4742,0.137271,0.48262
128,-7.57501,-15.7776,17.5739,0.186802,-8.20326,-15.4279,17.5449,0.186802,0.488927
129,-7.29304,-16.4725,17.6642,0.236332,-7.94078,-16.1338,17.635,0.236332,0.493254
130,-6.93634,-17.1323,17.7744,0.285862,-7.6019,-16.8079,17.745,0.285862,0.494968
131,-6.49669,-17.7399,17.9051,0.335393,-7.17739,-17.4339,17.8754,0.335393,0.493359
132,-5.97015,-18.274,18.057,0.384923,-6.66198,-17.9905,18.0269,0.384923,0.487686
133,-5.35909,-18.7089,18.231,0.434453,-6.05635,-18.4516,18.2005,0.434453,0.477259
134,-4.6747,-19.0156,18.4282,0.483984,-5.36975,-18.7875,18.3971,0.483984,0.461596
135,-3.94092,-19.1708,18.6412,0.516498,-4.62549,-18.9719,18.6098,0.516498,0.441716
136,-3.19109,-19.155,18.8706,0.549013,-3.85614,-18.9832,18.8389,0.549013,0.418472
137,-2.46777,-18.9568,19.1171,0.581527,-3.10421,-18.8066,19.085,0.581527,0.393335
138,-1.82137,-18.5764,19.3814,0.614041,-2.42109,-18.4391,19.349,0.614041,0.368535
139,-1.30692,-18.0307,19.6645,0.646556,-1.8642,-17.8938,19.6316,0.646556,0.347076
140,-0.978524,-17.3564,19.9671,0.67907,-1.49181,-17.2045,19.9338,0.67907,0.332604
141,-0.881404,-16.6127,20.2905,0.711584,-1.35511,-16.4283,20.2566,0.711584,0.329054
142,-1.04169,-15.8801,20.6357,0.744099,-1.48784,-15.6462,20.6012,0.744099,0.339988
143,-1.45512,-15.2543,21.0042,0.776613,-1.89406,-14.9581,20.969,0.776613,0.367584
144,-2.06161,-14.8131,21.3622,0.762218,-2.5142,-14.4581,21.3268,0.762218,0.403783
145,-2.78217,-14.605,21.71,0.747823,-3.26547,-14.201,21.6745,0.747823,0.443646
146,-3.53096,-14.6476,22.0479,0.733428,-4.05706,-14.2082,22.0123,0.733428,0.482732
147,-4.22604,-14.9293,22.3762,0.719033,-4.80169,-14.4701,22.3404,0.719033,0.517409
148,-4.79778,-15.4147,22.6951,0.704637,-5.4246,-14.9514,22.6592,0.704637,0.545054
149,-5.19442,-16.0512,23.0047,0.690242,-5.86959,-15.5982,22.9687,0.690242,0.564091
150,-5.38473,-16.7767,23.3054,0.675847,-6.10197,-16.3461,23.2693,0.675847,0.573913
151,-5.35822,-17.5262,23.5973,0.661452,-6.10881,-17.1274,23.5611,0.661452,0.574725
152,-5.12323,-18.2385,23.8806,0.647057,-5.89702,-17.8775,23.8443,0.647057,0.567355
153,-4.71555,-18.868,24.1366,0.598987,-5.50435,-18.5445,24.0993,0.598987,0.556118
154,-4.17489,-19.3878,24.367,0.550917,-4.97251,-19.1007,24.3289,0.550917,0.542356
155,-3.53924,-19.7858,24.5733,0.502847,-4.34104,-19.5337,24.5345,0.502847,0.52696
156,-2.84166,-20.0613,24.7566,0.454777,-3.6441,-19.8428,24.7172,0.454777,0.510448
157,-2.10886,-20.221,24.9182,0.406707,-2.90917,-20.0351,24.8783,0.406707,0.493114
158,-1.36091,-20.2765,25.0587,0.358638,-2.15686,-20.1222,25.0184,0.358638,0.475129
159,-0.61172,-20.2417,25.1791,0.310568,-1.40149,-20.1183,25.1384,0.310568,0.456603
160,0.13018,-20.1318,25.2798,0.262498,-0.651929,-20.0387,25.2389,0.262498,0.437621
161,0.860641,-19.9617,25.3615,0.214428,0.0873772,-19.8985,25.3203,0.214428,0.41826
162,1.57807,-19.7431,25.4285,0.176879,0.814859,-19.7093,25.3873,0.176879,0.398511
163,2.28301,-19.4871,25.4811,0.139329,1.53078,-19.4823,25.4398,0.139329,0.378471
164,2.97764,-19.2042,25.5194,0.10178,2.23705,-19.2284,25.478,0.10178,0.38236
165,3.66524,-18.9047,25.5435,0.0642304,2.93668,-18.9575,25.5021,0.0642304,0.390694
166,4.3498,-18.5983,25.5536,0.0266811,3.63341,-18.6798,25.512,0.0266811,0.398944
167,5.03562,-18.2948,25.5495,-0.0108683,4.33124,-18.405,25.508,-0.0108683,0.4073
168,5.72683,-18.0037,25.5313,-0.0484176,5.03405,-18.1428,25.4898,-0.0484176,0.415946
169,6.42709,-17.7351,25.499,-0.085967,5.74522,-17.9033,25.4575,-0.085967,0.425062
170,7.13909,-17.4994,25.4524,-0.123516,6.46714,-17.6971,25.411,-0.123516,0.434821
171,7.86071,-17.295,25.4087,-0.116023,7.19729,-17.5226,25.3673,-0.116023,0.445489
172,8.59007,-17.1203,25.3679,-0.108529,7.93387,-17.3781,25.3264,-0.108529,0.456986
173,9.32555,-16.9734,25.3299,-0.101035,8.67534,-17.2617,25.2884,-0.101035,0.469235
174,10.0657,-16.8525,25.2947,-0.0935409,9.42035,-17.1714,25.2533,-0.0935409,0.482161
175,10.8094,-16.7556,25.2623,-0.0860471,10.1678,-17.1054,25.2209,-0.0860471,0.495695
176,11.5557,-16.6807,25.2328,-0.0785532,10.9169,-17.0614,25.1914,-0.0785532,0.509767
177,12.3037,-16.6257,25.2061,-0.0710593,11.6668,-17.0374,25.1647,-0.0710593,0.524316
178,13.0528,-16.5886,25.1822,-0.0635655,12.4169,-17.0313,25.1408,-0.0635655,0.53928
179,13.8025,-16.5672,25.1612,-0.0560716,13.167,-17.041,25.1198,-0.0560716,0.554603
180,14.5522,-16.5488,25.1573,-0.0104244,13.9169,-17.0536,25.1159,-0.0104244,0.570055
181,15.3017,-16.5205,25.1705,0.0352229,14.667,-17.0564,25.1291,0.0352229,0.585272
182,16.05,-16.4694,25.2009,0.0808702,15.4171,-17.0363,25.1595,0.0808702,0.599875
183,16.7949,-16.3827,25.2486,0.126517,16.1659,-16.9806,25.2071,0.126517,0.613444
184,17.5327,-16.2477,25.3138,0.172165,16.9102,-16.8762,25.2722,0.172165,0.625489
185,18.2567,-16.0519,25.3968,0.217812,17.6442,-16.7104,25.355,0.217812,0.635435
186,18.9572,-15.7841,25.4979,0.263459,18.3591,-16.4712,25.456,0.263459,0.642604
187,19.6207,-15.4345,25.6177,0.309106,19.0418,-16.148,25.5755,0.309106,0.646223
188,20.2295,-14.9963,25.7566,0.354754,19.6749,-15.7327,25.7141,0.354754,0.645449
189,20.7622,-14.4684,25.9136,0.396587,20.2371,-15.2226,25.8709,0.396587,0.6396
190,21.1943,-13.8554,26.0895,0.438419,20.7034,-14.6205,26.0463,0.438419,0.628031
191,21.4993,-13.1702,26.2848,0.480252,21.0458,-13.9374,26.2413,0.480252,0.610347
192,21.6504,-12.4356,26.5006,0.522085,21.2357,-13.1941,26.4566,0.522085,0.586621
193,21.6248,-11.686,26.7377,0.563918,21.247,-12.4235,26.6932,0.563918,0.557648
194,21.4075,-10.9682,26.9975,0.60575,21.0604,-11.6715,26.9523,0.60575,0.525242
195,20.998,-10.3398,27.2811,0.647583,20.67,-10.9969,27.2353,0.647583,0.492522
196,20.4168,-9.86587,27.5902,0.689416,20.0905,-10.4677,27.5436,0.689416,0.464084
197,19.7117,-9.61034,27.9267,0.731249,19.364,-10.1545,27.8791,0.731249,0.445904
198,18.9617,-9.6017,28.2628,0.730806,18.5748,-10.0984,28.2152,0.730806,0.441812
199,18.2508,-9.8407,28.5987,0.730364,17.8112,-10.3055,28.5511,0.730364,0.452211
200,17.6583,-10.3005,28.9342,0.729921,17.1585,-10.7525,28.8866,0.729921,0.475904
201,17.2499,-10.9296,29.2694,0.729479,16.6892,-11.3893,29.2218,0.729479,0.510221
202,17.0711,-11.6579,29.6044,0.729036,16.4554,-12.1449,29.5568,0.729036,0.551333
203,17.1414,-12.4046,29.939,0.728593,16.4827,-12.9353,29.8914,0.728593,0.594676
204,17.4529,-13.0869,30.2734,0.728151,16.7679,-13.6729,30.2258,0.728151,0.635462
205,17.9708,-13.6293,30.6074,0.727708,17.2792,-14.2761,30.5598,0.727708,0.669208
206,18.6379,-13.9722,30.9412,0.727266,17.9598,-14.6785,30.8936,0.727266,0.692226
207,19.3773,-14.0979,31.2475,0.684955,18.724,-14.8543,31.1989,0.684955,0.704814
208,20.1225,-14.0138,31.5283,0.642644,19.5016,-14.8108,31.4788,0.642644,0.708941
209,20.822,-13.7433,31.785,0.600333,20.2381,-14.5721,31.7348,0.600333,0.706381
210,21.4397,-13.3179,32.0191,0.558022,20.8954,-14.1707,31.9682,0.558022,0.698594
211,21.9537,-12.7717,32.2316,0.515711,21.4505,-13.6419,32.1802,0.515711,0.68672
212,22.354,-12.1374,32.4237,0.4734,21.8925,-13.0192,32.3718,0.4734,0.67163
213,22.6395,-11.4439,32.5962,0.431089,22.2197,-12.3321,32.5439,0.431089,0.653989
214,22.8155,-10.7149,32.7498,0.388778,22.4372,-11.6052,32.6971,0.388778,0.634309
215,22.8915,-9.96872,32.8852,0.346467,22.5543,-10.8575,32.8322,0.346467,0.612995
216,22.8803,-9.2188,33.0017,0.301188,22.5836,-10.103,32.9484,0.301188,0.590447
217,22.7957,-8.47359,33.0998,0.255909,22.539,-9.35073,33.0463,0.255909,0.566916
218,22.6516,-7.73756,33.18,0.21063,22.4344,-8.60563,33.1263,0.21063,0.542622
219,22.4618,-7.01197,33.2426,0.165351,22.2838,-7.86943,33.1887,0.165351,0.517756
220,22.2394,-6.29571,33.2878,0.120072,22.1002,-7.14147,33.2338,0.120072,0.492492
221,21.9969,-5.58598,33.3159,0.074793,21.8963,-6.41939,33.2618,0.074793,0.466992
222,21.7466,-4.87898,33.327,0.0295141,21.6847,-5.69983,33.2729,0.0295141,0.441414
223,21.5005,-4.17051,33.3211,-0.0157648,21.4772,-4.97907,33.2669,-0.0157648,0.415919
224,21.2707,-3.45659,33.2982,-0.0610438,21.2863,-4.25358,33.244,-0.0610438,0.406303
225,21.0591,-2.73706,33.2727,-0.0676613,21.1139,-3.52342,33.2186,-0.0676613,0.420575
226,20.8677,-2.0119,33.2448,-0.0742789,20.9619,-2.78868,33.1907,-0.0742789,0.435505
227,20.6983,-1.28126,33.2144,-0.0808965,20.8323,-2.04962,33.1603,-0.0808965,0.451141
228,20.5532,-0.545451,33.1815,-0.0875141,20.727,-1.30663,33.1274,-0.0875141,0.467525
229,20.4341,0.195041,33.1461,-0.0941317,20.6482,-0.560314,33.092,-0.0941317,0.484696
230,20.3432,0.939512,33.1082,-0.100749,20.5976,0.188521,33.0541,-0.100749,0.502688
231,20.2825,1.68705,33.0678,-0.107367,20.5773,0.938859,33.0137,-0.107367,0.521529
232,20.2539,2.4365,33.0249,-0.113984,20.5893,1.68945,32.9708,-0.113984,0.54124
233,20.2593,3.18648,32.9794,-0.120602,20.6354,2.43882,32.9253,-0.120602,0.561837
234,20.2881,3.93593,32.9484,-0.0824741,20.7045,3.18598,32.8944,-0.0824741,0.583215
235,20.3293,4.6848,32.9318,-0.0443462,20.7861,3.93163,32.8778,-0.0443462,0.605008
236,20.3722,5.43357,32.9295,-0.00621827,20.8694,4.677,32.8755,-0.00621827,0.626882
237,20.4061,6.1828,32.9414,0.0319097,20.9437,5.42336,32.8874,0.0319097,0.648513
238,20.4204,6.93267,32.9677,0.0700376,20.9985,6.17162,32.9137,0.0700376,0.669559
239,20.4041,7.68249,33.0084,0.108165,21.0227,6.92185,32.9544,0.108165,0.689646
240,20.3464,8.43027,33.0637,0.146293,21.0056,7.67279,33.0096,0.146293,0.708342
241,20.2366,9.17219,33.1337,0.184421,20.9361,8.4214,33.0794,0.184421,0.725139
242,20.0643,9.90213,33.2185,0.222549,20.8034,9.16229,33.1642,0.222549,0.739448
243,19.8172,10.6103,33.3225,0.270368,20.5944,9.88678,33.2679,0.270368,0.750332
244,19.4848,11.2825,33.446,0.318187,20.2975,10.5817,33.3911,0.318187,0.756797
245,19.0594,11.9003,33.5897,0.366006,19.9035,11.2289,33.5345,0.366006,0.757745
246,18.5386,12.4399,33.7544,0.413824,19.4077,11.8049,33.6988,0.413824,0.752053
247,17.9267,12.8736,33.941,0.461643,18.812,12.2815,33.8849,0.461643,0.738709
248,17.238,13.1706,34.1504,0.509462,18.1277,12.6262,34.0938,0.509462,0.717048
249,16.4992,13.2999,34.3841,0.557281,17.3787,12.8053,34.3269,0.557281,0.687076
250,15.752,13.2355,34.6435,0.6051,16.6043,12.7879,34.5855,0.6051,0.649921
251,15.0535,12.9624,34.9303,0.652918,15.8605,12.5527,34.8713,0.652918,0.608359
252,14.4646,12.498,35.2253,0.666464,15.2154,12.1108,35.1662,0.666464,0.568991
253,14.0412,11.8789,35.5285,0.680009,14.7301,11.4954,35.4694,0.680009,0.536168
254,13.8282,11.1598,35.8403,0.693554,14.4557,10.7594,35.781,0.693554,0.513989
255,13.8524,10.4102,36.1607,0.7071,14.4264,9.97236,36.1013,0.7071,0.50586
256,14.1179,9.7087,36.49,0.720645,14.653,9.21597,36.4306,0.720645,0.513919
257,14.6011,9.13514,36.8285,0.73419,15.1185,8.57551,36.7689,0.73419,0.538498
258,15.2509,8.7606,37.1762,0.747735,15.7758,8.13003,37.1166,0.747735,0.577721
259,15.9906,8.637,37.5336,0.761281,16.5494,7.94113,37.4738,0.761281,0.627344
260,16.7254,8.78718,37.9007,0.774826,17.342,8.04185,37.8408,0.774826,0.680936
261,17.3667,9.17608,38.2443,0.741644,18.0482,8.40227,38.1836,0.741644,0.727626
262,17.8524,9.74761,38.5656,0.708463,18.5999,8.96438,38.5042,0.708463,0.765357
263,18.1472,10.4372,38.8659,0.675281,18.9576,9.66086,38.804,0.675281,0.793366
264,18.2396,11.1815,39.1463,0.642099,19.107,10.4252,39.0839,0.642099,0.811799
265,18.1365,11.9244,39.4078,0.608918,19.0533,11.1985,39.3449,0.608918,0.821322
